Id,Date,Ts Code,Amount,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,r5
0,12/31/2020,601628.SH,1150786.104,1.01,38.39,39.2,37.35,37.35,2.702,37.38,300239.11,0.577393732,1,15.5,15.41,23.82,4.9,27.39
1,12/30/2020,601628.SH,609814.658,-0.33,37.38,37.57,36.91,37.46,-0.8751,37.71,164268.61,0.382986615,1,15.34,15.39,23.4,4.87,26.89
2,12/29/2020,601628.SH,455424.662,0.31,37.71,37.88,37.39,37.39,0.8289,37.4,121008.91,0.557682095,1,15.56,15.41,23.1,4.85,27.47
3,12/28/2020,601628.SH,620763.184,-0.12,37.4,38.18,36.88,37.45,-0.3198,37.52,165478.87,0.545385203,1,15.15,15.84,22.46,4.83,27.62
4,12/27/2020,601628.SH,,,,,,,,,,0.621118211,1,,,,,
5,12/26/2020,601628.SH,,,,,,,,,,0.603337277,1,,,,,
6,12/25/2020,601628.SH,484249.446,0.27,37.52,37.66,36.41,37.35,0.7248,37.25,130624.06,0.397691621,1,14.99,15.89,23.74,4.87,28.6
7,12/24/2020,601628.SH,482780.32,-0.15,37.25,38.29,37.12,37.5,-0.4011,37.4,128359.12,0.445574102,0.99999995,14.91,15.2,24.5,4.78,28.97
8,12/23/2020,601628.SH,808311.727,0.02,37.4,37.73,36.66,37.45,0.0535,37.38,216998.19,0.453125693,0.999999992,15.63,15.7,24.9,4.93,28.62
9,12/22/2020,601628.SH,792922.888,-1.71,37.38,39.07,37.33,38.99,-4.3745,39.09,207985.63,0.43945194,0.99999999,15.64,15.3,24,5,28.63
10,12/21/2020,601628.SH,501458,0.18,39.09,39.31,38.26,38.61,0.4626,38.91,128992.74,0.484580393,0.109130662,16.52,15.47,24.85,5.3,29.75
11,12/20/2020,601628.SH,,,,,,,,,,0.656815599,0.851521766,,,,,
12,12/19/2020,601628.SH,,,,,,,,,,,0.826775393,,,,,
13,12/18/2020,601628.SH,598491.731,-0.9,38.91,40.1,38.81,39.76,-2.2607,39.81,152482.42,0.432416364,0.797904625,16.34,15.61,24.23,5,28.91
14,12/17/2020,601628.SH,710545.695,0.78,39.81,39.95,38.42,38.8,1.9985,39.03,180767.95,0.549718379,0.764222071,16.74,15.47,25,5.4,29.45
15,12/16/2020,601628.SH,644836.084,0.51,39.03,39.53,38.57,38.76,1.324,38.52,165121.35,0.520928455,0.978804217,16.35,15.35,25.3,4.95,29.47
16,12/15/2020,601628.SH,798716.177,-0.5,38.52,39.09,38.12,39.04,-1.2814,39.02,208099.51,0.485155151,0.721393122,16.95,15.49,26.39,5,29.65
17,12/14/2020,601628.SH,801356.242,-0.76,39.02,39.77,38.6,39.75,-1.9105,39.78,205231.26,0.407129092,0.823436866,16.95,15.28,27.56,5.2,3.6
18,12/13/2020,601628.SH,,,,,,,,,,0.446110976,0.818756049,,,,,
19,12/12/2020,601628.SH,,,,,,,,,,0.555852434,0.817419492,,,,,
20,12/11/2020,601628.SH,959607.883,-0.75,39.78,40.75,39.3,40.4,-1.8505,40.53,240753.08,0.468447738,0.240763321,16.82,15.25,27.76,4.98,3.9
21,12/10/2020,601628.SH,1141782.481,-1.22,40.53,41.94,40.45,41.84,-2.9222,41.75,278578.13,0.502530125,0.733428845,16.71,15.28,26.96,5.11,31.65
22,12/9/2020,601628.SH,632832.892,-0.06,41.75,42.19,41.38,41.96,-0.1435,41.81,151247.81,0.5221361,0.996865666,16.69,15.48,26.88,5.1,31.56
23,12/8/2020,601628.SH,508361.087,-0.09,41.81,42.23,41.67,41.9,-0.2148,41.9,121162.92,0.588059758,0.500291559,17.32,15.61,27.91,5.19,32.3
